Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
USDBTC,Bitcoin per United States Dollar,Exchange Rates - Market,United States Dollar,United States,,,,,,,National Currency,Units,Stock,none,Daily From Jul 2010 To Apr 2024<BR>,,
Date,Ticker,Open,High,Low,Close
06/08/2023,USDBTC,26341.8,26784.4,26231.3,26501.1
06/09/2023,USDBTC,26501.1,26773.9,26326.7,26479.3
06/10/2023,USDBTC,26502,26556,25468,25870
06/11/2023,USDBTC,25870,26230,25669,25953
06/12/2023,USDBTC,25927.9,26080.7,25635,25906.8
06/13/2023,USDBTC,25906.9,26428.9,25726.4,25929.4
06/14/2023,USDBTC,25929,26051.7,24847.4,25129.5
06/15/2023,USDBTC,25129.5,25732.8,24838,25591.3
06/16/2023,USDBTC,25591.9,26472.8,25276,26341.3
06/17/2023,USDBTC,26357,26789,26202,26535
06/18/2023,USDBTC,26535,26712,26293,26358
06/19/2023,USDBTC,26339.7,27029.7,26295.1,26845.9
06/20/2023,USDBTC,26866,28406,26676,28325
06/21/2023,USDBTC,28307.7,30769.5,28270.5,29996.9
06/22/2023,USDBTC,30013,30506,29678,29920
06/23/2023,USDBTC,29890.2,31395.4,29822.6,30679.4
06/24/2023,USDBTC,30708,30820,30294,30556
06/25/2023,USDBTC,30556,31058,30334,30485
06/26/2023,USDBTC,30485,30672,29981,30287
06/27/2023,USDBTC,30267,30993.7,30231.3,30689.1
06/28/2023,USDBTC,30691.9,30703.4,29919.5,30078.6
06/29/2023,USDBTC,30077.3,30823.1,30051.3,30445.7
06/30/2023,USDBTC,30445.7,31275.5,29714.5,30472.9
07/01/2023,USDBTC,30500,30689,30356,30607
07/02/2023,USDBTC,30607,30817,30200,30663
07/03/2023,USDBTC,30617.5,31377,30581.5,31151.3
07/04/2023,USDBTC,31152,31326.5,30657.8,30768.4
07/05/2023,USDBTC,30768.6,30875.6,30233.3,30512.8
07/06/2023,USDBTC,30512.8,31463.6,29869,29913.1
07/07/2023,USDBTC,29912.7,30442,29757.4,30346.4
07/08/2023,USDBTC,30346.8,30379.9,30055.9,30288.8
07/09/2023,USDBTC,30288.8,30425.5,30071.9,30166.9
07/10/2023,USDBTC,30166.9,31019.6,29969.1,30415.3
07/11/2023,USDBTC,30414.2,30782.2,30333.8,30623.3
07/12/2023,USDBTC,30654,30998,30260,30428
07/13/2023,USDBTC,30387.3,31764.5,30260,31466.1
07/14/2023,USDBTC,31465.4,31602.6,29944.3,30317.4
07/17/2023,USDBTC,30235.5,30335.9,29693.3,30139.7
07/18/2023,USDBTC,30139.7,30242.4,29624.6,29866.8
07/19/2023,USDBTC,29866.7,30185.5,29789.3,29909.7
07/20/2023,USDBTC,29939,30438,29625,29839
07/21/2023,USDBTC,29839,30091,29770,29942
07/24/2023,USDBTC,30122,30125,28931,29224
07/25/2023,USDBTC,29224,29404,29101,29272
07/26/2023,USDBTC,29228.8,29681.8,29109.7,29352.2
07/27/2023,USDBTC,29352.9,29568.8,29094,29222.7
07/28/2023,USDBTC,29222.7,29533,29125.1,29315
07/31/2023,USDBTC,29282,29502.3,29128.3,29232.4
08/01/2023,USDBTC,29273,29746,28663,29746
08/02/2023,USDBTC,29746,30056,28975,29197
08/03/2023,USDBTC,29197,29438,28995,29206
08/04/2023,USDBTC,29189.1,29319.1,28875.8,29105.5
08/05/2023,USDBTC,29119,29153,28993,29075
08/06/2023,USDBTC,29075,29198,29007,29095
08/07/2023,USDBTC,29095,29289,28722,29222
08/08/2023,USDBTC,29223,30235,29165,29796
08/09/2023,USDBTC,29771.3,30104,29384.2,29578
08/10/2023,USDBTC,29597,29745,29384,29458
08/11/2023,USDBTC,29448.9,29544.9,29271.2,29420.8
08/12/2023,USDBTC,29434,29495,29393,29445
08/13/2023,USDBTC,29445,29477,29297,29314
08/14/2023,USDBTC,29314,29689,29103,29445
08/15/2023,USDBTC,29426.7,29472,29118.6,29195.3
08/16/2023,USDBTC,29200,29255,28728,28730
08/17/2023,USDBTC,28726.1,28771.8,25489.4,26635.7
08/18/2023,USDBTC,26635.7,26801.9,25691,26053.2
08/19/2023,USDBTC,26066,26279,25812,26115
08/20/2023,USDBTC,26115,26305,26018,26215
08/21/2023,USDBTC,26190.8,26220.9,25850.8,26126
08/22/2023,USDBTC,26144,26156,25490,26057
08/23/2023,USDBTC,26057,26834,25840,26461
08/24/2023,USDBTC,26436.2,26560.5,25943.6,26177
08/25/2023,USDBTC,26176.1,26265.7,25811.6,26057.2
08/26/2023,USDBTC,26079,26142,26019,26045
08/27/2023,USDBTC,26045,26198,25997,26121
08/28/2023,USDBTC,26100.6,26215.7,25891,26118.9
08/29/2023,USDBTC,26118.1,28046,25919.8,27723.9
08/30/2023,USDBTC,27723.9,27757.3,27043.2,27298.8
08/31/2023,USDBTC,27325,27550,25750,25967
09/01/2023,USDBTC,25967,26164,25354,25816
09/02/2023,USDBTC,25816,25995,25763,25870
09/03/2023,USDBTC,25870,26114,25826,25980
09/04/2023,USDBTC,25971,26094.2,25660.9,25823.3
09/05/2023,USDBTC,25824.4,25864,25596.3,25790.2
09/06/2023,USDBTC,25790.1,26018.4,25411.7,25758
09/07/2023,USDBTC,25758,26417.7,25626.5,26249.8
09/08/2023,USDBTC,26248.5,26415.4,25701.6,25909.5
09/09/2023,USDBTC,25918,25948,25823,25910
09/10/2023,USDBTC,25910,26009,25638,25860
09/11/2023,USDBTC,25860,25904,24927,25183
09/12/2023,USDBTC,25166.4,26472.6,25133.5,25834.5
09/13/2023,USDBTC,25836.1,26382.3,25766.9,26223
09/14/2023,USDBTC,26223,26760.3,26148.6,26524.7
09/15/2023,USDBTC,26523.3,26837.4,26233.1,26601
09/16/2023,USDBTC,26625,26792,26477,26576
09/17/2023,USDBTC,26576,26632,26444,26547
09/18/2023,USDBTC,26530.3,27413.3,26405.2,26763.5
09/19/2023,USDBTC,26759,27480.7,26672.2,27209.2
09/20/2023,USDBTC,27209.2,27378.6,26851.8,27125
09/21/2023,USDBTC,27125.2,27155.6,26382.3,26570
09/22/2023,USDBTC,26569.5,26736.4,26488.5,26581.9
09/25/2023,USDBTC,26251.6,26423.6,26013.6,26302.7
09/26/2023,USDBTC,26330,26410,26129,26244
09/27/2023,USDBTC,26244,26872,26147,26391
09/28/2023,USDBTC,26368.2,27283.6,26339.4,27022.6
09/29/2023,USDBTC,27022.6,27229.5,26728.8,26909.8
09/30/2023,USDBTC,26929,27109,26909,26980
10/01/2023,USDBTC,26980,28100,26973,28008
10/02/2023,USDBTC,27974.6,28556.6,27325.2,27505.3
10/03/2023,USDBTC,27526,27700,27211,27431
10/04/2023,USDBTC,27431,27845,27249,27805
10/05/2023,USDBTC,27805,28118,27370,27422
10/06/2023,USDBTC,27418,28268,27200,27942
10/09/2023,USDBTC,27929,27987,27331,27617
10/10/2023,USDBTC,27617,27752,27325,27414
10/11/2023,USDBTC,27391.9,27475.9,26558.4,26876.6
10/12/2023,USDBTC,26894,26964,26580,26795
10/13/2023,USDBTC,26795,27140,26700,26875
10/14/2023,USDBTC,27168,30067,27129,28524
10/15/2023,USDBTC,26871,27297,26832,27168
10/16/2023,USDBTC,27168,30067,27129,28524
10/17/2023,USDBTC,28524,28624,28109,28410
10/18/2023,USDBTC,28410,28978,28171,28332
10/19/2023,USDBTC,28332,28904,28155,28745
10/20/2023,USDBTC,28745,30232,28619,29689
10/21/2023,USDBTC,29689,30343,29478,29922
10/22/2023,USDBTC,29922,30225,29704,30023
10/23/2023,USDBTC,30023,33525,29923,33069
10/24/2023,USDBTC,33069,35175,32852,33943
10/25/2023,USDBTC,33943,35147,33756,34504
10/26/2023,USDBTC,34504,34843,33770,34184
10/27/2023,USDBTC,34184,34268,33430,33942
10/28/2023,USDBTC,33942,34494,33906,34104
10/29/2023,USDBTC,34104,34783,33969,34551
10/30/2023,USDBTC,34552,34876,34117,34490
10/31/2023,USDBTC,34490,34730,34111,34643
11/01/2023,USDBTC,34669,35561,34114,35447
11/02/2023,USDBTC,35447,35953,34335,34944
11/03/2023,USDBTC,34931.4,34940.6,34124.2,34718.7
11/04/2023,USDBTC,34751,35296,34647,35100
11/05/2023,USDBTC,35100,35399,34532,35064
11/06/2023,USDBTC,35064,35323,34798,35020
11/07/2023,USDBTC,35053,35930,34578,35455
11/08/2023,USDBTC,35426.2,36050.2,35148.8,35636.9
11/09/2023,USDBTC,35636.9,37942,35578.1,36700.5
11/10/2023,USDBTC,36699,37500,36369,37301
11/11/2023,USDBTC,37301,37405,36720,37141
11/12/2023,USDBTC,37141,37215,36760,37042
11/13/2023,USDBTC,36511,36511,36230,36383
11/14/2023,USDBTC,36511,36756,34860,35542
11/15/2023,USDBTC,35542,37949,35374,37865
11/16/2023,USDBTC,37865,37927,35535,36161
11/17/2023,USDBTC,36161,36730,35886,36631
11/18/2023,USDBTC,36631,36849,36234,36581
11/19/2023,USDBTC,36581,37509,36410,37368
11/20/2023,USDBTC,37368,37731,36824,37475
11/21/2023,USDBTC,37451,37638,35791,35794
11/22/2023,USDBTC,35794,37870,35663,37407
11/23/2023,USDBTC,37410.8,37642.5,36915.3,37293.1
11/24/2023,USDBTC,37280,38410,37248,37704
11/25/2023,USDBTC,37704,37891,37583,37782
11/26/2023,USDBTC,37782,37798,37120,37443
11/27/2023,USDBTC,37443,37547,36735,37263
11/28/2023,USDBTC,37263,38349,36895,37815
11/29/2023,USDBTC,37823.3,38362.9,37607.6,37855.5
11/30/2023,USDBTC,37834,38136,37490,37723
12/01/2023,USDBTC,37723,38936,37626,38676
12/02/2023,USDBTC,38676,39678,38634,39438
12/03/2023,USDBTC,39438,40159,39253,39940
12/04/2023,USDBTC,39940,42335,39940,41942
12/05/2023,USDBTC,41942,44420,41317,44112
12/06/2023,USDBTC,44112,44285,43444,43814
12/07/2023,USDBTC,43814,44091,42881,43290
12/08/2023,USDBTC,43290,44699,43101,44173
12/09/2023,USDBTC,44173,44362,43629,43749
